Symbol,Name
XYM,Symbol
CHSB,SwissBorg
ONT,Ontology
IOST,IOST
ZRX,0x
SYN,Synapse
HIVE,Hive
SFP,SafePal
DAO,DAO Maker
AMP,Amp
SXP,Solar
BORA,BORA
STORJ,Storj
STG,Stargate Finance
ILV,Illuvium
POLY,Polymath
WAXP,WAX
CKB,Nervos Network
ZEN,Horizen
METIS,MetisDAO
KEEP,Keep Network
DGB,DigiByte
EVER,Everscale
RLC,iExec RLC
TKO,Toko Token
LSK,Lisk
CELR,Celer Network
HFT,Hashflow
SYS,Syscoin
PEOPLE,ConstitutionDAO
UMA,UMA
KNC,Kyber Network Crystal v2
HOOK,Hooked Protocol
NFT,APENFT
TRAC,OriginTrail
MC,Merit Circle
VGX,Voyager Token
MOB,MobileCoin
PLA,PlayDapp
EWT,Energy Web Token
SLP,Smooth Love Potion
ELF,aelf
BTRST,Braintrust
SCRT,Secret
CHR,Chromia
HEX,HEX
WTRX,Wrapped TRON
stETH,Lido Staked ETH
BTCB,Bitcoin BEP2
WBNB,Wrapped BNB
TMG,T-mac DAO
FRAX,Frax
HBTC,Huobi BTC
BTTOLD,BitTorrent
TNC,TNC Coin
FTT,FTX Token
BGB,Bitget Token
XRD,Radix
WEMIX,WEMIX
FLOKI,FLOKI
XAUT,Tether Gold
BabyDoge,Baby Doge Coin
NXM,NXM
LN,LINK
DFI,DeFiChain
USDJ,USDJ
MV,GensoKishi Metaverse
LUSD,Liquity USD
ALI,Artificial Liquid Intelligence
ANY,Anyswap
EDGT,Edgecoin
BRISE,Bitgert
COCOS,Cocos-BCX
TEL,Telcoin
LYXe,LUKSO
WEVER,Wrapped Everscale
BDX,Beldex
RON,Ronin
TSUKA,Dejitaru Tsuka
VVS,VVS Finance
GTC,Gitcoin
MED,MediBloc
API3,API3
EURS,STASIS EURO
MX,MX TOKEN
GAL,Galxe
ACH,Alchemy Pay
PUNDIX,Pundi X (New)
KAS,Kaspa
NMR,Numeraire
XTN,Neutrino Index
XNO,Nano
ANT,Aragon
COTI,COTI
CEL,Celsius
RBN,Ribbon Finance
CTC,Creditcoin
POLYX,Polymesh
AXL,Axelar
SNT,Status
TRIBE,Tribe
CVC,Civic
CFG,Centrifuge
DENT,Dent
LOCUS,Locus Chain
REP,Augur
REQ,Request
HIGH,Highstreet
LOOKS,LooksRare
ONG,Ontology Gas
CTSI,Cartesi
PYR,Vulcan Forged PYR
NYM,NYM
NU,NuCypher
DEXE,DeXe
MVL,MVL
SAITAMA,Saitama
VTHO,VeThor Token
ORBS,Orbs
RAD,Radicle
vUSDC,Venus USDC
ARDR,Ardor
SPELL,Spell Token
MBOX,MOBOX
VRA,Verasity
ALPHA,Alpha Venture DAO
HUM,Humanscape
STEEM,Steem
ERG,Ergo
MNW,Morpheus.Network
DUSK,Dusk Network
POWR,Powerledger
DKA,dKargo
AVINOC,AVINOC
PHA,Phala Network
LCX,LCX
VOLT,Volt Inu V2
POND,Marlin
PROM,Prom
IQ,IQ
SRM,Serum
CEEK,CEEK VR
WIN,WINkLink
USDX,USDX [Kava]
REN,Ren
