,0,1
84,BR,BANGKOK RANCH PUBLIC COMPANY LIMITED
85,BRI,BRITANIA PUBLIC COMPANY LIMITED
86,BROCK,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED
87,BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED
88,BRRGIF,BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND
89,BSBM,BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED
90,BTG,BETAGRO PUBLIC COMPANY LIMITED
91,BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED
92,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED
93,BTSGIF,BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND
94,BWG,BETTER WORLD GREEN PUBLIC COMPANY LIMITED
95,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED
96,CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD."
97,CCP,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED
98,CEN,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED
99,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED
100,CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED
101,CGD,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED
102,CH,Chin Huay Public Company Limited
103,CHG,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED
104,CHOTI,"KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD."
105,CI,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED
106,CITY,CITY STEEL PUBLIC COMPANY LIMITED
107,CIVIL,CIVIL ENGINEERING PUBLIC COMPANY LIMITED
108,CK,CH. KARNCHANG PUBLIC COMPANY LIMITED
109,CKP,CK POWER PUBLIC COMPANY LIMITED
110,CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED
111,CMAN,CHEMEMAN PUBLIC COMPANY LIMITED
112,CMC,CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED
113,CMR,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED
114,CNT,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED
115,COM7,COM7 PUBLIC COMPANY LIMITED
116,COTTO,SCG CERAMICS PUBLIC COMPANY LIMITED
117,CPALL,CP ALL PUBLIC COMPANY LIMITED
118,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED
119,CPH,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED
120,CPI,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED
121,CPL,CPL GROUP PUBLIC COMPANY LIMITED
122,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED
123,CPNCG,CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND
124,CPNREIT,CPN RETAIL GROWTH LEASEHOLD REIT
125,CPT,CPT DRIVES AND POWER PUBLIC COMPANY LIMITED
126,CPTGF,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND
127,CPW,COPPERWIRED PUBLIC COMPANY LIMITED
128,CRANE,CHU KAI PUBLIC COMPANY LIMITED
129,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED
130,CSC,CROWN SEAL PUBLIC COMPANY LIMITED
131,CSP,CSP STEEL CENTER PUBLIC COMPANY LIMITED
132,CSR,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED
133,CSS,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED
134,CTARAF,CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND
135,CTW,CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED
136,CV,CLOVER POWER PUBLIC COMPANY LIMITED
137,CWT,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED
138,DCC,DYNASTY CERAMIC PUBLIC COMPANY LIMITED
139,DCON,DCON PRODUCTS PUBLIC COMPANY LIMITED
140,DDD,DO DAY DREAM PUBLIC COMPANY LIMITED
141,DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED
142,DEMCO,DEMCO PUBLIC COMPANY LIMITED
143,DIF,DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND
144,DMT,DON MUANG TOLLWAY PUBLIC COMPANY LIMITED
145,DOHOME,DOHOME PUBLIC COMPANY LIMITED
146,DREIT,DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
147,DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED
148,DTAC,TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED
149,DTCENT,D.T.C. Enterprise Public Company Limited
150,DTCI,D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED
151,DUSIT,DUSIT THANI PUBLIC COMPANY LIMITED
152,EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED
153,EASON,EASON & CO PUBLIC COMPANY LIMITED
154,EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.
155,EE,ETERNAL ENERGY PUBLIC COMPANY LIMITED
156,EGATIF,"NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND, ELECTRICITY GENERATING AUTHORITY OF THAILAND"
157,EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED
158,EKH,EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED
159,EMC,EMC PUBLIC COMPANY LIMITED
160,EP,EASTERN POWER GROUP PUBLIC COMPANY LIMITED
161,EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED
162,ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED
163,ERWPF,ERAWAN HOTEL GROWTH PROPERTY FUND
164,ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED
165,ESTAR,EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED
166,ETC,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED
167,EVER,EVERLAND PUBLIC COMPANY LIMITED
168,F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED
169,FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED
170,FE,FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED
171,FMT,FINE METAL TECHNOLOGIES PUBLIC COMPANY LIMITED
172,FN,FN FACTORY OUTLET PUBLIC COMPANY LIMITED
173,FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED
174,FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED
175,FTE,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED
176,FTI,Function International Public Company Limited
177,FTREIT,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT
178,FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY FUND
179,GAHREIT,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST
180,GC,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED
181,GEL,GENERAL ENGINEERING PUBLIC COMPANY LIMITED
182,GENCO,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD."
183,GFPT,GFPT PUBLIC COMPANY LIMITED
184,GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED
185,GIFT,GRATITUDE INFINITE PUBLIC COMPANY LIMITED
186,GJS,G J STEEL PUBLIC COMPANY LIMITED
187,GLAND,GRAND CANAL LAND PUBLIC COMPANY LIMITED
188,GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED
189,GLOCON,GLOBAL CONSUMER PUBLIC COMPANY LIMITED
190,GPI,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED
191,GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED
192,GRAMMY,GMM GRAMMY PUBLIC COMPANY LIMITED
193,GRAND,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED
194,GREEN,GREEN RESOURCES PUBLIC COMPANY LIMITED
195,GROREIT,GRANDE ROYAL ORCHID HOSPITALITY REAL ESTATE INVESTMENT TRUST WITH BUY-BACK CONDITION
196,GSTEEL,G STEEL PUBLIC COMPANY LIMITED
197,GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED
198,GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED
199,GVREIT,GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST
200,GYT,GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED
201,HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED
202,HFT,HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED
203,HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED
204,HPF,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND
205,HTC,HAAD THIP PUBLIC COMPANY LIMITED
206,HTECH,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED
207,HUMAN,HUMANICA PUBLIC COMPANY LIMITED
208,HYDROGEN,Hydrogen Freehold and Leasehold Real Estate Investment Trust
209,ICC,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED
210,ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED
211,IFEC,INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED
212,IHL,INTERHIDES PUBLIC COMPANY LIMITED
213,III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED
214,ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED
215,ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED
216,IMPACT,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST
217,INET,INTERNET THAILAND PUBLIC COMPANY LIMITED
218,INETREIT,INET LEASEHOLD REAL ESTATE INVESTMENT TRUST
219,INGRS,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED
220,INOX,POSCO-THAINOX PUBLIC COMPANY LIMITED
221,INSET,INFRASET PUBLIC COMPANY LIMITED
222,INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED
223,IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED
224,IRPC,IRPC PUBLIC COMPANY LIMITED
225,IT,IT CITY PUBLIC COMPANY LIMITED
226,ITC,i-Tail Corporation Public Company Limited
227,ITD,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED
228,ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED
229,IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED
230,J,JAS ASSET PUBLIC COMPANY LIMITED
231,JAS,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED
232,JASIF,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND
233,JCK,JCK INTERNATIONAL PUBLIC COMPANY LIMITED
234,JCT,JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED
235,JDF,JD Food Public Company Limited
236,JKN,JKN GLOBAL GROUP PUBLIC COMPANY LIMITED
237,JMART,JAY MART PUBLIC COMPANY LIMITED
238,JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED
239,JR,J.R.W. UTILITY PUBLIC COMPANY LIMITED
240,JTS,JASMINE TECHNOLOGY SOLUTION PUBLIC COMPANY LIMITED
241,KAMART,KARMARTS PUBLIC COMPANY LIMITED
242,KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED
243,KBS,KHONBURI SUGAR PUBLIC COMPANY LIMITED
244,KBSPIF,KHONBURI SUGAR POWER PLANT INFRASTRUCTURE FUND
245,KC,K.C. PROPERTY PUBLIC COMPANY LIMITED
246,KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED
247,KDH,THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED
248,KEX,KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED
249,KIAT,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED
250,KISS,ROJUKISS INTERNATIONAL PUBLIC COMPANY LIMITED
251,KKC,KULTHORN KIRBY PUBLIC COMPANY LIMITED
252,KKP,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED
253,KPNPF,KPN PROPERTY FUND
254,KSL,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED
255,KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED
256,KTBSTMR,KTBST MIXED FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
257,KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED
258,KTIS,KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED
259,KWC,KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED
260,KYE,KANG YONG ELECTRIC PUBLIC COMPANY LIMITED
261,L&E,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED
262,LALIN,LALIN PROPERTY PUBLIC COMPANY LIMITED
263,LANNA,THE LANNA RESOURCES PUBLIC COMPANY LIMITED
264,LEE,LEE FEED MILL PUBLIC COMPANY LIMITED
265,LH,LAND AND HOUSES PUBLIC COMPANY LIMITED
266,LHHOTEL,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST
267,LHK,LOHAKIT METAL PUBLIC COMPANY LIMITED
268,LHPF,LAND AND HOUSES FREEHOLD AND LEASEHOLD PROPERTY FUND
269,LHSC,LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST
270,LOXLEY,LOXLEY PUBLIC COMPANY LIMITED
271,LPF,LOTUS'S RETAIL GROWTH FREEHOLD AND LEASEHOLD PROPERTY FUND
272,LPH,LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED
273,LPN,L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED
274,LRH,LAGUNA RESORTS & HOTELS PUBLIC COMPANY LIMITED
275,LST,LAM SOON (THAILAND) PUBLIC COMPANY LIMITED
276,LUXF,LUXURY REAL ESTATE INVESTMENT FUND
277,M,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED
278,M-CHAI,MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED
279,M-II,MFC INDUSTRIAL INVESTMENT PROPERTY AND LEASEHOLD FUND
280,M-PAT,MFC PATONG HERITAGE PROPERTY FUND
281,M-STOR,MFC-STRATEGIC STORAGE FUND
282,MACO,MASTER AD PUBLIC COMPANY LIMITED
283,MAJOR,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED
284,MAKRO,SIAM MAKRO PUBLIC COMPANY LIMITED
285,MALEE,MALEE GROUP PUBLIC COMPANY LIMITED
286,MANRIN,THE MANDARIN HOTEL PUBLIC COMPANY LIMITED
287,MATCH,MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED
288,MATI,MATICHON PUBLIC COMPANY LIMITED
289,MAX,MAX METAL CORPORATION PUBLIC COMPANY LIMITED
290,MBK,MBK PUBLIC COMPANY LIMITED
291,MC,MC GROUP PUBLIC COMPANY LIMITED
292,MCOT,MCOT PUBLIC COMPANY LIMITED
293,MCS,M.C.S.STEEL PUBLIC COMPANY LIMITED
294,MDX,M.D.X. PUBLIC COMPANY LIMITED
295,MEGA,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED
296,MENA,MENA TRANSPORT PUBLIC COMPANY LIMITED
297,METCO,MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY LIMITED
298,MFEC,MFEC PUBLIC COMPANY LIMITED
299,MIDA,MIDA ASSETS PUBLIC COMPANY LIMITED
300,MILL,MILLCON STEEL PUBLIC COMPANY LIMITED
301,MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED
302,MIPF,MILLIONAIRE PROPERTY FUND
303,MIT,MFC INDUSTRIAL REAL ESTATE INVESTMENT TRUST
304,MJD,MAJOR DEVELOPMENT PUBLIC COMPANY LIMITED
305,MJLF,MAJOR CINEPLEX LIFESTYLE LEASEHOLD PROPERTY FUND
306,MK,M.K. REAL ESTATE DEVELOPMENT PUBLIC COMPANY LIMITED
307,MNIT,MFC-NICHADA THANI PROPERTY FUND
308,MNIT2,NICHADA THANI PROPERTY FUND 2
309,MNRF,MULTI-NATIONAL RESIDENCE FUND
310,MODERN,MODERNFORM GROUP PUBLIC COMPANY LIMITED
311,MONO,MONO NEXT PUBLIC COMPANY LIMITED
312,MOSHI,Moshi Moshi Retail Corporation Public Company Limited
313,MPIC,M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED
314,MSC,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED
315,MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED
316,NATION,NATION GROUP (THAILAND) PUBLIC COMPANY LIMITED
317,NC,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED
318,NCH,N. C. HOUSING PUBLIC COMPANY LIMITED
319,NEP,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED
320,NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED
321,NEW,WATTANA KARNPAET PUBLIC COMPANY LIMITED
322,NEX,NEX POINT PUBLIC COMPANY LIMITED
323,NFC,NFC PUBLIC COMPANY LIMITED
324,NNCL,NAVANAKORN PUBLIC COMPANY LIMITED
325,NOBLE,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED
326,NOK,NOK AIRLINES PUBLIC COMPANY LIMITED
327,NOVA,NOVA EMPIRE PUBLIC COMPANY LIMITED
328,NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED
329,NSL,NSL FOODS PUBLIC COMPANY LIMITED
330,NTV,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED
331,NUSA,NUSASIRI PUBLIC COMPANY LIMITED
332,NV,NOVA ORGANIC PUBLIC COMPANY LIMITED
333,NVD,NIRVANA DAII PUBLIC COMPANY LIMITED
334,NWR,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED
335,NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED
336,OCC,O.C.C. PUBLIC COMPANY LIMITED
337,OGC,OCEAN GLASS PUBLIC COMPANY LIMITED
338,OHTL,OHTL PUBLIC COMPANY LIMITED
339,OISHI,OISHI GROUP PUBLIC COMPANY LIMITED
340,ONEE,THE ONE ENTERPRISE PUBLIC COMPANY LIMITED
341,OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED
342,ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED
343,OSP,OSOTSPA PUBLIC COMPANY LIMITED
344,PACE,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED
345,PAF,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED
346,PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED
347,PATO,PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED
348,PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED
349,PCC,Precise Corporation Public Company Limited
350,PCSGH,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED
351,PDJ,PRANDA JEWELRY PUBLIC COMPANY LIMITED
352,PEACE,PEACE & LIVING PUBLIC COMPANY LIMITED
353,PERM,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED
354,PF,PROPERTY PERFECT PUBLIC COMPANY LIMITED
355,PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED
356,PIN,PINTHONG INDUSTRIAL PARK PUBLIC COMPANY LIMITED
357,PK,PATKOL PUBLIC COMPANY LIMITED
358,PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED
359,PLAT,THE PLATINUM GROUP PUBLIC COMPANY LIMITED
360,PLE,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED
361,PLUS,Royal Plus Public Company Limited
362,PM,PREMIER MARKETING PUBLIC COMPANY LIMITED
363,PMTA,PM THORESEN ASIA HOLDINGS PUBLIC COMPANY LIMITED
364,POLAR,POLARIS CAPITAL PUBLIC COMPANY LIMITED
365,POLY,Polynet Public Company Limited
366,POPF,PRIME OFFICE LEASEHOLD PROPERTY FUND
367,PORT,SAHATHAI TERMINAL PUBLIC COMPANY LIMITED
368,POST,BANGKOK POST PUBLIC COMPANY LIMITED
369,PPF,PINTHONG INDUSTRIAL PARK PROPERTY FUND
370,PPP,PREMIER PRODUCTS PUBLIC COMPANY LIMITED
371,PPPM,PP PRIME PUBLIC COMPANY LIMITED
372,PR9,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED
373,PRAKIT,PRAKIT HOLDINGS PUBLIC COMPANY LIMITED
374,PREB,PRE-BUILT PUBLIC COMPANY LIMITED
375,PRECHA,PREECHA GROUP PUBLIC COMPANY LIMITED
376,PRG,PRG CORPORATION PUBLIC COMPANY LIMITED
377,PRIME,PRIME ROAD POWER PUBLIC COMPANY LIMITED
378,PRIN,PRINSIRI PUBLIC COMPANY LIMITED
379,PRINC,PRINCIPAL CAPITAL PUBLIC COMPANY LIMITED
380,PRM,PRIMA MARINE PUBLIC COMPANY LIMITED
381,PRO,PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED
382,PROSPECT,PROSPECT LOGISTICS AND INDUSTRIAL FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
383,PSH,PRUKSA HOLDING PUBLIC COMPANY LIMITED
384,PSL,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED
385,PT,PREMIER TECHNOLOGY PUBLIC COMPANY LIMITED
386,PTECH,PLUS TECH INNOVATION PUBLIC COMPANY LIMITED
387,PTG,PTG ENERGY PUBLIC COMPANY LIMITED
