,Symbol,Name,Sector,Industry,Market
50,ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
51,ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,NASDAQ
52,ACNB,ACNB Corporation Common Stock,Finance,Major Banks,NASDAQ
53,ACNT,Ascent Industries Co. Common Stock,Industrials,Steel/Iron Ore,NASDAQ
54,ACON,Aclarion Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
55,ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
56,ACQR,Independence Holdings Corp. Class A Ordinary Share,Finance,Blank Checks,NASDAQ
57,ACQRU,Independence Holdings Corp. Units,Finance,Blank Checks,NASDAQ
58,ACQRW,Independence Holdings Corp. Warrant,Finance,Blank Checks,NASDAQ
59,ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
60,ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
61,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
62,ACST,Acasti Pharma Inc. Class A Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
63,ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers,NASDAQ
64,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies,NASDAQ
65,ACVA,ACV Auctions Inc. Class A Common Stock,Industrials,Metal Fabrications,NASDAQ
66,ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
67,ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
68,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
69,ADALW,Anthemis Digital Acquisitions I Corp Warrant,Finance,Blank Checks,NASDAQ
70,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
71,ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
73,ADEA,Adeia Inc. Common Stock,Technology,EDP Services,NASDAQ
74,ADER,26 Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
75,ADERW,26 Capital Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
76,ADES,Advanced Emissions Solutions Inc. Common Stock,Industrials,Industrial Specialties,NASDAQ
77,ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,NASDAQ
78,ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
79,ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
80,ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
81,ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
82,ADN,Advent Technologies Holdings Inc. Class A Common Stock,Utilities,Power Generation,NASDAQ
83,ADNWW,Advent Technologies Holdings Inc. Warrant,Utilities,Power Generation,NASDAQ
84,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
85,ADOCR,Edoc Acquisition Corp. Right,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
86,ADOCW,Edoc Acquisition Corp. Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
87,ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services,NASDAQ
88,ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
89,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,Industrial Specialties,NASDAQ
90,ADSEW,ADS-TEC ENERGY PLC Warrant,Consumer Discretionary,Industrial Specialties,NASDAQ
91,ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
92,ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary,Advertising,NASDAQ
93,ADTHW,AdTheorent Holding Company Inc. Warrants,Consumer Discretionary,Advertising,NASDAQ
94,ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,NASDAQ
95,ADTX,Aditxt Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
96,ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services,NASDAQ
97,ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Advertising,NASDAQ
98,ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
99,ADVWW,Advantage Solutions Inc. Warrant,Consumer Discretionary,Advertising,NASDAQ
100,ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
101,AEAE,AltEnergy Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
102,AEAEW,AltEnergy Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
103,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),Consumer Discretionary,Building Products,NASDAQ
104,AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products,NASDAQ
105,AEI,Alset Inc. Common Stock (TX),Real Estate,Building operators,NASDAQ
106,AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Electrical Products,NASDAQ
107,AEMD,Aethlon Medical Inc. Common Stock,Miscellaneous,Diversified Commercial Services,NASDAQ
108,AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central,NASDAQ
109,AEPPZ,American Electric Power Company Inc. Corporate Units,Utilities,Electric Utilities: Central,NASDAQ
110,AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Discretionary,Durable Goods,NASDAQ
111,AEYE,AudioEye Inc. Common Stock,Technology,EDP Services,NASDAQ
112,AEZS,Aeterna Zentaris Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
113,AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
114,AFARU,Aura FAT Projects Acquisition Corp Unit,Finance,Blank Checks,NASDAQ
115,AFARW,Aura FAT Projects Acquisition Corp Warrant,Finance,Blank Checks,NASDAQ
116,AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks,NASDAQ
117,AFCG,AFC Gamma Inc. Common Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
118,AFIB,Acutus Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
119,AFMD,Affimed N.V.,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
120,AFRI,Forafric Global PLC Ordinary Shares,Consumer Staples,Farming/Seeds/Milling,NASDAQ
121,AFRIW,Forafric Global PLC Warrants,Consumer Staples,Farming/Seeds/Milling,NASDAQ
122,AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
123,AFYA,Afya Limited Class A Common Shares,Real Estate,Other Consumer Services,NASDAQ
124,AGAE,Allied Gaming & Entertainment Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services,NASDAQ
125,AGBA,AGBA Group Holding Limited Ordinary Share,Finance,Investment Managers,NASDAQ
126,AGBAW,AGBA Group Holding Limited Warrant,Finance,Investment Managers,NASDAQ
127,AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
129,AGFY,Agrify Corporation Common Stock,Consumer Discretionary,Military/Government/Technical,NASDAQ
130,AGGR,Agile Growth Corp. Class A Ordinary Share,Finance,Blank Checks,NASDAQ
131,AGGRU,Agile Growth Corp. Units,Finance,Blank Checks,NASDAQ
132,AGGRW,Agile Growth Corp. Warrant.,Finance,Blank Checks,NASDAQ
133,AGIL,AgileThought Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
134,AGILW,AgileThought Inc. Warrant,Technology,EDP Services,NASDAQ
135,AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
136,AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
137,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services,NASDAQ
138,AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
139,AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
140,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
141,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
142,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
143,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts,NASDAQ
146,AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
147,AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software,NASDAQ
148,AHCO,AdaptHealth Corp. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
149,AHG,Akso Health Group ADS,Finance,Finance: Consumer Services,NASDAQ
150,AHI,Advanced Health Intelligence Ltd. American Depositary Shares,Consumer Discretionary,Package Goods/Cosmetics,NASDAQ
151,AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,Consumer Staples,Farming/Seeds/Milling,NASDAQ
152,AIB,AIB Acquisition Corporation Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
153,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care,Medical Specialities,NASDAQ
154,AIHS,Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services,NASDAQ
155,AIMC,Altra Industrial Motion Corp. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
156,AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
157,AIMDW,Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
158,AIP,Arteris Inc. Common Stock,Technology,Semiconductors,NASDAQ
159,AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
160,AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Hospital/Nursing Management,NASDAQ
161,AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,NASDAQ
162,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services,NASDAQ
163,AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services,NASDAQ
164,AKAN,Akanda Corp. Common Shares,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
165,AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
166,AKLI,Akili Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
167,AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
168,AKTS,Akoustis Technologies Inc. Common Stock,Utilities,Telecommunications Equipment,NASDAQ
169,AKTX,Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
170,AKU,Akumin Inc. Common Stock (DE),Health Care,Medical Specialities,NASDAQ
171,AKYA,Akoya BioSciences Inc. Common Stock,Industrials,Medical Specialities,NASDAQ
172,ALAR,Alarum Technologies Ltd. American Depositary Share,Technology,Computer Software: Prepackaged Software,NASDAQ
173,ALBO,Albireo Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
174,ALBT,Avalon GloboCare Corp. Common Stock,Real Estate,Building operators,NASDAQ
176,ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
177,ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
178,ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,NASDAQ
179,ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties,NASDAQ
180,ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
181,ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,NASDAQ
182,ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities,NASDAQ
183,ALIM,Alimera Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
184,ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
185,ALKT,Alkami Technology Inc. Common Stock,Technology,EDP Services,NASDAQ
186,ALLK,Allakos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
187,ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
188,ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
189,ALLT,Allot Ltd. Ordinary Shares,Telecommunications,Telecommunications Equipment,NASDAQ
190,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
191,ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,Finance,Blank Checks,NASDAQ
192,ALORU,ALSP Orchid Acquisition Corporation I Unit,Finance,Blank Checks,NASDAQ
193,ALORW,ALSP Orchid Acquisition Corporation I Warrant,Finance,Blank Checks,NASDAQ
194,ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment,NASDAQ
195,ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
196,ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
197,ALPN,Alpine Immune Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
198,ALPP,Alpine 4 Holdings Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
200,ALR,AlerisLife Inc. Common Stock,Health Care,Hospital/Nursing Management,NASDAQ
201,ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
202,ALRN,Aileron Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
203,ALRS,Alerus Financial Corporation Common Stock,Finance,Commercial Banks,NASDAQ
204,ALSA,Alpha Star Acquisition Corporation Ordinary Shares,Finance,Blank Checks,NASDAQ
205,ALSAR,Alpha Star Acquisition Corporation Rights,Finance,Blank Checks,NASDAQ
206,ALSAU,Alpha Star Acquisition Corporation Units,Finance,Blank Checks,NASDAQ
207,ALSAW,Alpha Star Acquisition Corporation Warrants,Finance,Blank Checks,NASDAQ
208,ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
209,ALTI,Alvarium Tiedemann Holdings Inc. Class A Common Stock,Finance,Investment Managers,NASDAQ
210,ALTIW,Alvarium Tiedemann Holdings Inc. Warrant,Finance,Investment Managers,NASDAQ
211,ALTO,Alto Ingredients Inc. Common Stock,Industrials,Industrial Specialties,NASDAQ
212,ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
213,ALTU,Altitude Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
214,ALTUW,Altitude Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
215,ALVO,Alvotech Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
216,ALVOW,Alvotech Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
217,ALVR,AlloVir Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
218,ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
220,ALZN,Alzamend Neuro Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
221,AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Commercial Banks,NASDAQ
222,AMAO,American Acquisition Opportunity Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
223,AMAOW,American Acquisition Opportunity Inc. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
224,AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,NASDAQ
225,AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors,NASDAQ
226,AMCX,AMC Networks Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment,NASDAQ
227,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,NASDAQ
228,AMED,Amedisys Inc Common Stock,Health Care,Medical/Nursing Services,NASDAQ
229,AMEH,Apollo Medical Holdings Inc. Common Stock,Health Care,Managed Health Care,NASDAQ
230,AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
231,AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors,NASDAQ
232,AMLI,American Lithium Corp. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
233,AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
234,AMNB,American National Bankshares Inc. Common Stock,Finance,Major Banks,NASDAQ
235,AMOT,Allied Motion Technologies Inc.,Industrials,Electrical Products,NASDAQ
236,AMPG,Amplitech Group Inc. Common Stock,Technology,Industrial Machinery/Components,NASDAQ
237,AMPGW,Amplitech Group Inc. Warrants,Technology,Industrial Machinery/Components,NASDAQ
238,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
239,AMPL,Amplitude Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
240,AMRK,A-Mark Precious Metals Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,NASDAQ
241,AMRN,Amarin Corporation plc,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
242,AMRS,Amyris Inc. Common Stock,Industrials,Industrial Specialties,NASDAQ
243,AMSC,American Superconductor Corporation Common Stock,Industrials,Office Equipment/Supplies/Services,NASDAQ
244,AMSF,AMERISAFE Inc. Common Stock,Finance,Accident &Health Insurance,NASDAQ
245,AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
246,AMSWA,American Software Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
247,AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks,NASDAQ
248,AMTI,Applied Molecular Transport Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
249,AMTX,Aemetis Inc. (DE) Common Stock,Energy,Oilfield Services/Equipment,NASDAQ
250,AMV,Atlis Motor Vehicles Inc. Class A Common Stock,Consumer Discretionary,Automotive Aftermarket,NASDAQ
251,AMWD,American Woodmark Corporation Common Stock,Consumer Discretionary,Building Products,NASDAQ
252,AMYT,Amryt Pharma plc American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
253,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
254,ANAB,AnaptysBio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
255,ANDE,Andersons Inc. (The) Common Stock,Consumer Staples,Tobacco,NASDAQ
256,ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
257,ANGH,Anghami Inc. Ordinary Shares,Consumer Discretionary,Movies/Entertainment,NASDAQ
258,ANGHW,Anghami Inc. Warrants,Consumer Discretionary,Movies/Entertainment,NASDAQ
259,ANGI,Angi Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
260,ANGN,Angion Biomedica Corp. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
261,ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments,NASDAQ
262,ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
263,ANIP,ANI Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
264,ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
265,ANNX,Annexon Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
266,ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,Health Care,Medical Specialities,NASDAQ
267,ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
268,ANTE,AirNet Technology Inc. American Depositary Shares,Consumer Discretionary,Advertising,NASDAQ
269,ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
