Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2020 31 Dec 2020,1898.83,1825.77,73.06,688.07,1701.08,-,-329.58,-0.48,-11.60,-145.77,-19.37,PPPM
Y/E 2021 31 Dec 2021,1615.44,1516.61,98.83,2133.64,662.03,93.1,-186.27,-0.13,-6.63,-216.73,-28.14,PPPM
9M/2022 30 Sep 2022,1520.26,938.01,582.25,10221.45,835.99,-209.96,-420.67,-0.08,-28.19,-158.28,-50.32,PPPM
Y/E 2018 31 Dec 2018,55748.11,30648.33,24705.19,1536.0,74950.96,-15.18,2064.36,1.34,5.72,8.67,2.86,STA
Y/E 2019 31 Dec 2019,58330.87,32842.48,24119.03,1536.0,60602.38,698.93,-148.54,-0.1,1.44,-0.61,-0.09,STA
Y/E 2020 31 Dec 2020,93117.22,39720.3,38071.24,1536.0,75879.46,436.6,9531.21,6.21,23.45,30.65,20.29,STA
Y/E 2021 31 Dec 2021,114527.09,49478.5,46652.13,1536.0,118810.58,-1119.77,15846.7,10.32,28.46,37.41,22.03,STA
9M/2022 30 Sep 2022,116606.94,47870.92,50721.45,1536.0,85699.29,771.86,3807.03,2.48,7.92,11.13,5.29,STA
Y/E 2021 31 Dec 2021,6482.32,4397.83,2083.22,785.99,11126.86,-64.34,562.51,78.15,10.44,27.0,5.06,TEGH
9M/2022 30 Sep 2022,7913.51,4830.71,3081.98,1080.0,11852.85,-89.57,521.15,0.64,10.09,21.51,4.4,TEGH
Y/E 2020 31 Dec 2020,2498.49,1015.83,1335.57,820.0,4244.47,4.51,411.69,1.0,18.21,30.83,9.67,TFM
Y/E 2021 31 Dec 2021,3343.56,940.13,2217.16,1000.0,4833.96,4.88,211.5,0.5,7.48,11.91,4.34,TFM
9M/2022 30 Sep 2022,3567.48,1155.34,2221.38,1000.0,3713.73,5.8,92.68,0.19,3.96,8.2,2.06,TFM
Y/E 2018 31 Dec 2018,8097.85,5659.98,2219.01,681.48,7576.25,-0.71,18.22,0.03,3.25,0.82,0.82,TRUBB
Y/E 2019 31 Dec 2019,7611.58,5625.78,1889.63,681.48,6871.12,-1.22,-351.72,-0.52,-3.04,-17.12,-6.89,TRUBB
Y/E 2020 31 Dec 2020,8264.74,5959.77,2330.85,681.48,6966.29,-1.13,24.16,0.04,1.06,1.14,-1.73,TRUBB
Y/E 2021 31 Dec 2021,9480.64,5389.35,3577.89,817.78,9417.8,-0.63,607.11,0.84,9.9,20.55,5.6,TRUBB
9M/2022 30 Sep 2022,9137.09,4911.01,3614.22,817.78,7261.93,-0.84,316.79,0.39,9.01,16.03,4.15,TRUBB
Y/E 2018 31 Dec 2018,7072.58,1206.44,5304.23,880.42,7328.83,-1.87,196.86,0.22,3.94,3.7,2.92,TWPC
Y/E 2019 31 Dec 2019,7868.57,2573.18,5020.83,880.42,7423.83,-4.54,68.04,0.08,2.32,1.32,1.26,TWPC
Y/E 2020 31 Dec 2020,8120.05,2914.4,4894.37,880.42,7181.77,21.35,38.27,0.04,1.42,0.77,0.49,TWPC
Y/E 2021 31 Dec 2021,8604.1,3070.27,5162.92,880.42,9194.51,2.55,323.03,0.37,5.93,6.42,3.94,TWPC
9M/2022 30 Sep 2022,8331.16,2678.08,5263.39,880.42,7865.49,-14.92,260.19,0.3,5.67,6.57,3.34,TWPC
Y/E 2018 31 Dec 2018,1361.33,311.1,1050.22,324.05,683.24,9.51,14.04,0.04,1.49,1.33,2.05,UPOIC
Y/E 2019 31 Dec 2019,1340.18,320.62,1019.57,324.05,563.67,-6.81,-3.55,-0.01,0.26,-0.34,-0.63,UPOIC
Y/E 2020 31 Dec 2020,1484.66,349.49,1135.17,324.05,986.69,-3.75,125.1,0.39,11.59,11.61,12.68,UPOIC
Y/E 2021 31 Dec 2021,1766.32,389.15,1377.18,324.05,2128.22,29.48,306.81,0.95,21.97,24.42,14.42,UPOIC
9M/2022 30 Sep 2022,1738.42,296.5,1441.91,324.05,1889.08,24.67,226.76,0.7,24.5,24.87,12.0,UPOIC
Y/E 2018 31 Dec 2018,3799.16,424.37,3309.25,470.00,6178.75,-,303.79,0.32,9.82,8.96,5.11,UVAN
Y/E 2019 31 Dec 2019,3644.18,379.54,3150.67,470.00,4524.77,-,216.85,0.23,7.82,6.71,4.98,UVAN
Y/E 2020 31 Dec 2020,3885.48,536.73,3215.5,470.0,5926.85,7.97,329.12,0.35,11.36,10.34,5.77,UVAN
Y/E 2021 31 Dec 2021,4435.64,632.45,3613.92,470.0,11843.51,35.52,839.27,0.89,26.69,24.58,7.53,UVAN
9M/2022 30 Sep 2022,5033.72,760.04,4027.57,470.0,14559.46,-130.77,1069.67,1.14,33.34,31.74,7.91,UVAN
Y/E 2018 31 Dec 2018,1234.57,617.86,616.71,940.00,1273.33,-,-92.70,-0.10,-4.86,-13.98,-7.28,VPO
Y/E 2019 31 Dec 2019,1112.43,543.17,569.26,940.00,1086.61,-,-47.45,-0.05,-1.89,-8.00,-4.37,VPO
Y/E 2020 31 Dec 2020,982.84,447.68,535.15,940.00,1115.45,-,-29.34,-0.03,-0.70,-5.31,-2.63,VPO
Y/E 2021 31 Dec 2021,871.31,289.93,581.38,940.00,1389.72,-,46.22,0.05,7.37,8.28,3.33,VPO
9M/2022 30 Sep 2022,874.15,250.01,623.55,940.0,1969.89,-24.34,43.83,0.05,7.31,6.73,2.22,VPO
Y/E 2021 31 Dec 2021,3606.44,1229.94,2376.5,1700.0,5050.47,-1.86,653.0,3.84,20.44,27.48,12.65,AAI
9M/2022 30 Sep 2022,4708.33,2282.6,2425.74,1700.0,5478.67,1.26,558.76,0.33,18.31,29.82,10.2,AAI
Y/E 2018 31 Dec 2018,1813.45,161.05,1629.28,670.79,1738.07,-,119.55,0.12,9.01,7.62,7.33,APURE
Y/E 2019 31 Dec 2019,1798.74,120.00,1658.42,670.79,1719.52,-,29.14,0.03,2.10,1.77,1.82,APURE
Y/E 2020 31 Dec 2020,1980.5,131.37,1825.86,670.79,1991.0,14.26,319.62,0.33,17.6,18.35,16.33,APURE
Y/E 2021 31 Dec 2021,2545.45,326.78,2197.91,670.79,2342.84,-18.56,297.22,0.32,15.79,14.77,12.85,APURE
9M/2022 30 Sep 2022,2489.53,187.73,2287.16,670.79,1722.72,-2.51,224.03,0.23,11.95,12.91,13.02,APURE
Y/E 2018 31 Dec 2018,6541.75,3776.6,2765.15,542.73,9798.29,-6.5,362.23,0.67,7.34,13.66,3.7,ASIAN
Y/E 2019 31 Dec 2019,5822.21,3011.94,2810.27,542.73,8330.82,-7.9,132.7,0.24,3.9,4.76,1.59,ASIAN
Y/E 2020 31 Dec 2020,6231.81,2733.88,3497.93,542.73,8827.08,-2.94,818.06,1.51,15.42,25.94,9.27,ASIAN
Y/E 2021 31 Dec 2021,7354.7,3310.7,4043.99,814.09,9593.14,-1.86,1044.32,1.28,17.96,27.69,10.89,ASIAN
9M/2022 30 Sep 2022,8300.47,4027.41,4273.06,814.09,8735.09,1.26,755.62,0.93,16.76,25.34,8.65,ASIAN
Y/E 2018 31 Dec 2018,10351.42,5730.44,4619.39,4567.23,8161.52,-12.05,191.3,0.21,3.27,4.05,2.34,BR
Y/E 2019 31 Dec 2019,10694.33,6518.61,4177.75,4567.23,7588.78,-19.0,-274.75,-0.3,-2.04,-6.25,-3.67,BR
Y/E 2020 31 Dec 2020,10997.9,6930.96,4074.15,4567.23,6194.8,-0.7,-123.24,-0.13,-0.04,-2.99,-2.07,BR
Y/E 2021 31 Dec 2021,10792.16,6758.78,4032.13,4567.23,7277.38,-3.87,-55.83,-0.06,1.37,-1.38,-0.78,BR
9M/2022 30 Sep 2022,10650.53,6356.37,4291.12,4567.23,6304.43,8.82,250.8,0.27,5.35,6.45,4.01,BR
Y/E 2018 31 Dec 2018,10276.23,7775.72,2499.13,812.1,5809.02,107.65,271.62,0.33,7.15,10.93,4.68,BRR
Y/E 2019 31 Dec 2019,9429.25,7566.32,1861.61,812.1,5108.43,71.99,-511.71,-0.63,-0.96,-23.47,-10.02,BRR
Y/E 2020 31 Dec 2020,8663.23,6807.4,1854.48,812.1,4047.17,0.81,6.14,0.01,4.01,0.33,0.15,BRR
Y/E 2021 31 Dec 2021,9056.98,7119.56,1936.76,812.1,4028.65,-14.59,129.31,0.16,3.67,6.82,3.15,BRR
9M/2022 30 Sep 2022,8556.18,5773.61,2794.65,812.1,6731.04,-17.79,924.36,1.14,13.93,39.92,13.7,BRR
Y/E 2021 31 Dec 2021,57475.09,41952.87,15758.79,7500.0,86544.62,253.4,1010.52,3.07,2.83,6.41,0.97,BTG
9M/2022 30 Sep 2022,60052.97,50025.09,9874.09,7500.0,83215.57,519.02,6141.75,4.09,13.93,64.78,7.57,BTG
Y/E 2018 31 Dec 2018,14319.92,6955.21,7176.83,1000.0,14597.43,-16.08,1158.57,1.16,10.7,16.21,6.58,CBG
Y/E 2019 31 Dec 2019,14780.04,6061.67,8565.81,1000.00,15051.82,-,2506.46,2.51,21.75,31.84,16.40,CBG
Y/E 2020 31 Dec 2020,17086.68,6929.39,9956.01,1000.00,17386.29,-,3525.03,3.53,27.20,38.06,20.47,CBG
Y/E 2021 31 Dec 2021,19185.65,9074.86,10209.29,1000.00,17570.33,-,2881.00,2.88,18.99,28.57,16.18,CBG
9M/2022 30 Sep 2022,19934.64,9758.63,10281.93,1000.00,14891.86,-,1877.99,1.88,15.58,25.05,12.38,CBG
Y/E 2018 31 Dec 2018,4800.29,2731.42,1848.81,463.55,7958.68,41.78,19.7,0.04,5.06,1.06,1.13,CFRESH
Y/E 2019 31 Dec 2019,4724.64,2921.93,1609.83,463.55,5531.98,-50.07,-218.21,-0.47,-1.73,-12.62,-3.7,CFRESH
Y/E 2020 31 Dec 2020,4458.06,2882.82,1344.39,463.55,5871.89,-22.27,-282.42,-0.61,-2.56,-19.12,-4.09,CFRESH
Y/E 2021 31 Dec 2021,4907.21,2420.26,2156.63,927.10,6936.89,-,268.58,0.36,7.70,15.34,4.83,CFRESH
9M/2022 30 Sep 2022,4874.03,2263.59,2257.83,927.10,5091.95,-,149.95,0.16,8.52,13.39,3.84,CFRESH
Y/E 2021 31 Dec 2021,1700.51,881.4,819.11,320.0,1455.45,38.55,67.07,0.1,5.91,8.19,4.61,CH
9M/2022 30 Sep 2022,2205.54,927.18,1278.36,400.0,1388.23,42.14,110.94,0.17,8.17,10.0,7.99,CH
Y/E 2018 31 Dec 2018,1986.94,857.31,1129.55,75.0,3181.0,37.91,-66.98,-8.93,-2.77,-5.73,-2.11,CHOTI
Y/E 2019 31 Dec 2019,1381.33,425.85,955.41,75.0,2514.28,25.11,-180.67,-24.09,-9.22,-17.33,-7.19,CHOTI
Y/E 2020 31 Dec 2020,1184.52,374.09,810.39,75.0,1692.96,1.85,-147.69,-19.69,-10.86,-16.73,-8.72,CHOTI
Y/E 2021 31 Dec 2021,1349.16,485.55,863.61,75.0,2490.06,-0.04,39.74,5.3,4.6,4.75,1.6,CHOTI
9M/2022 30 Sep 2022,2059.37,1089.85,969.52,75.0,2464.25,-11.9,126.85,16.91,9.54,16.93,5.15,CHOTI
Y/E 2018 31 Dec 2018,1559.0,134.29,1424.71,381.15,1277.54,23.34,97.48,0.26,7.62,6.8,7.63,CM
Y/E 2019 31 Dec 2019,1549.27,139.4,1409.87,381.15,1174.8,39.86,34.76,0.09,2.7,2.45,2.96,CM
Y/E 2020 31 Dec 2020,1517.64,146.61,1371.04,381.15,1108.49,-25.23,1.15,0.0,0.06,0.08,0.1,CM
Y/E 2021 31 Dec 2021,1664.83,346.0,1285.9,381.15,1064.39,-9.08,-65.95,-0.17,-4.99,-4.96,-7.6,CM
9M/2022 30 Sep 2022,1691.78,426.53,1251.02,381.15,1054.39,-24.6,4.39,0.01,-2.72,-2.95,-1.17,CM
Y/E 2018 31 Dec 2018,628090.85,409432.6,165533.16,8611.24,550053.85,17563.11,15531.47,1.82,6.44,9.31,3.9,CPF
Y/E 2019 31 Dec 2019,634050.56,415178.17,168275.26,8611.24,536775.52,16992.9,18455.81,2.18,6.87,11.06,4.49,CPF
Y/E 2020 31 Dec 2020,761719.09,499540.52,191936.79,8611.24,595011.1,21974.32,26022.39,3.14,10.3,14.45,7.41,CPF
Y/E 2021 31 Dec 2021,842680.62,555543.77,215066.99,8611.24,517584.4,13160.64,13028.26,1.56,4.15,6.4,2.72,CPF
9M/2022 30 Sep 2022,932852.04,630606.21,257668.08,8611.24,458427.33,5984.79,12157.91,1.48,4.97,8.08,2.74,CPF
Y/E 2018 31 Dec 2018,4548.4,2781.87,1766.53,632.75,4131.57,-0.1,-139.42,-0.22,-1.51,-7.89,-3.37,CPI
Y/E 2019 31 Dec 2019,4022.76,2168.84,1853.92,632.75,3336.24,-1.39,90.14,0.14,3.71,4.98,2.7,CPI
Y/E 2020 31 Dec 2020,4133.35,2169.53,1963.82,632.75,3909.14,0.16,159.05,0.25,5.41,8.33,4.07,CPI
Y/E 2021 31 Dec 2021,4395.58,2209.1,2186.48,632.75,5616.29,25.28,292.26,0.46,8.09,14.08,5.2,CPI
9M/2022 30 Sep 2022,4542.37,2197.08,2345.29,632.75,5755.6,31.89,277.92,0.44,9.47,14.96,4.83,CPI
Y/E 2018 31 Dec 2018,943.23,369.25,573.98,176.24,787.57,5.47,-10.71,-0.61,-0.96,-1.85,-1.36,F&D
Y/E 2019 31 Dec 2019,1520.05,467.13,1052.92,176.24,777.93,8.21,1.47,0.08,1.54,0.18,0.19,F&D
Y/E 2020 31 Dec 2020,1486.49,411.27,1075.22,176.24,715.2,8.09,24.27,1.38,2.06,2.28,3.39,F&D
Y/E 2021 31 Dec 2021,1585.3,408.6,1176.7,176.24,645.59,4.82,9.29,0.53,1.37,0.82,1.44,F&D
9M/2022 30 Sep 2022,1584.05,386.93,1197.12,176.24,564.85,5.81,20.42,1.16,1.69,1.34,3.62,F&D
Y/E 2018 31 Dec 2018,1538.03,462.59,1112.42,1899.03,1186.02,-78.0,-280.9,-0.18,-17.38,-28.46,-23.52,GLOCON
Y/E 2019 31 Dec 2019,1413.14,381.87,1056.32,1899.03,1199.33,-18.1,-59.73,-0.03,-5.02,-5.51,-4.04,GLOCON
Y/E 2020 31 Dec 2020,1495.58,491.83,1003.4,1912.69,1560.25,-0.22,-58.71,-0.03,-3.08,-5.7,-3.69,GLOCON
Y/E 2021 31 Dec 2021,1584.76,698.73,914.10,2119.66,1931.72,-,-152.43,-0.08,-11.49,-15.90,-8.63,GLOCON
9M/2022 30 Sep 2022,2722.71,1131.44,1565.54,3076.40,1881.66,-,5.17,0.00,-8.25,-11.95,-0.12,GLOCON
Y/E 2018 31 Dec 2018,4757.8,2045.52,2712.26,199.22,5722.41,0.29,249.07,1.25,6.41,9.26,4.35,HTC
Y/E 2019 31 Dec 2019,4906.98,1992.26,2914.7,200.96,6790.34,1.95,440.7,2.21,10.37,15.66,6.49,HTC
Y/E 2020 31 Dec 2020,5326.11,1872.14,3450.58,200.96,6444.09,-0.26,566.34,2.82,12.68,17.79,8.77,HTC
Y/E 2021 31 Dec 2021,5427.93,1814.03,3608.67,200.96,6544.35,0.2,535.39,2.66,11.93,15.17,8.15,HTC
9M/2022 30 Sep 2022,5572.28,1925.84,3643.05,200.96,5342.73,-2.64,332.5,1.65,8.96,11.39,6.19,HTC
Y/E 2018 31 Dec 2018,8176.78,2291.29,5885.48,1300.0,5216.22,-109.96,43.84,0.03,0.25,0.73,0.84,ICHI
Y/E 2019 31 Dec 2019,7686.94,1466.59,6220.36,1300.0,5347.71,-29.77,407.45,0.31,5.02,6.73,7.62,ICHI
Y/E 2020 31 Dec 2020,7404.55,1125.88,6278.68,1300.0,5107.96,27.95,515.53,0.4,7.74,8.25,10.09,ICHI
Y/E 2021 31 Dec 2021,7106.27,915.3,6190.97,1300.0,5250.77,58.95,546.77,0.42,8.87,8.77,10.41,ICHI
9M/2022 30 Sep 2022,7157.75,1166.72,5991.03,1300.0,4744.07,65.63,448.71,0.35,10.49,9.65,9.46,ICHI
Y/E 2021 31 Dec 2021,14933.79,10602.32,4328.62,360.0,7192.14,142.17,1598.68,44.41,4.68,36.93,21.91,ITC
9M/2022 30 Sep 2022,14409.78,10902.87,3507.65,2400.0,16904.02,473.36,3799.68,2.52,27.83,119.81,22.48,ITC
Y/E 2021 31 Dec 2021,862.12,586.69,275.44,225.00,585.70,-,45.39,0.12,7.53,16.48,7.75,JDF
9M/2022 30 Sep 2022,898.30,235.03,663.27,300.00,431.80,-,9.66,0.02,3.90,3.18,2.24,JDF
Y/E 2018 31 Dec 2018,9915.3,6471.15,3444.16,600.0,8509.12,58.9,293.96,0.49,4.67,8.92,3.45,KBS
Y/E 2019 31 Dec 2019,9703.8,6167.56,3536.24,600.0,6936.09,63.22,179.75,0.3,3.71,5.15,2.59,KBS
Y/E 2020 31 Dec 2020,10289.05,7432.26,2856.79,600.0,4716.68,3.59,-634.67,-1.06,-4.41,-19.85,-13.46,KBS
Y/E 2021 31 Dec 2021,12145.91,9634.18,2511.73,600.0,6371.89,-16.67,-332.42,-0.55,-0.12,-12.38,-5.22,KBS
9M/2022 30 Sep 2022,12617.53,9630.49,2987.05,600.0,8771.1,1.69,803.28,1.34,7.11,16.78,9.16,KBS
Y/E 2018 31 Oct 2018,45541.53,26902.71,18210.22,2205.12,18695.36,440.59,848.06,0.19,3.85,4.73,4.44,KSL
Y/E 2019 31 Oct 2019,44121.25,25099.98,18605.74,2205.12,18726.88,318.86,821.58,0.19,3.77,4.46,4.43,KSL
Y/E 2020 31 Oct 2020,41121.56,21575.66,19026.86,2205.12,12100.34,157.51,-82.74,-0.02,0.78,-0.44,-0.81,KSL
Y/E 2021 31 Oct 2021,41521.42,21409.76,19580.8,2205.12,10755.68,704.07,615.79,0.14,2.74,3.19,5.71,KSL
Y/E 2022 31 Oct 2022,41649.94,20286.63,20890.35,2205.12,16654.13,263.18,1321.22,0.3,5.17,6.53,7.98,KSL
Y/E 2018 30 Sep 2018,18358.42,10164.42,8193.99,3860.0,22419.02,233.76,791.97,0.2,7.37,9.67,3.53,KTIS
Y/E 2019 30 Sep 2019,19119.68,10777.55,8342.13,3860.0,16741.45,138.88,740.08,0.19,6.2,8.95,4.42,KTIS
Y/E 2020 30 Sep 2020,15394.96,7022.39,8372.57,3860.0,14003.96,-13.95,568.71,0.15,5.0,6.8,4.06,KTIS
Y/E 2021 30 Sep 2021,15758.33,8580.93,7177.4,3860.0,10419.14,-587.48,-1114.44,-0.29,-5.62,-14.33,-10.7,KTIS
Y/E 2022 30 Sep 2022,15172.3,9194.94,5977.35,3860.0,13891.24,-277.46,-861.99,-0.22,-5.45,-13.11,-6.21,KTIS
Y/E 2018 31 Dec 2018,5152.74,1192.1,3628.04,820.0,7410.95,9.51,381.68,0.47,8.76,10.87,5.24,LST
Y/E 2019 31 Dec 2019,5395.42,1189.98,3883.46,820.0,6456.91,-6.81,482.06,0.59,11.39,12.84,7.44,LST
Y/E 2020 31 Dec 2020,5705.72,1417.12,3932.72,820.0,6840.55,-3.75,383.02,0.47,9.81,9.8,6.14,LST
Y/E 2021 31 Dec 2021,6417.74,1684.29,4307.93,820.0,9635.34,29.48,558.63,0.68,13.14,13.56,6.73,LST
9M/2022 30 Sep 2022,7246.57,2417.1,4378.48,820.0,8900.88,23.34,275.5,0.34,10.26,10.33,3.93,LST
Y/E 2018 31 Dec 2018,17173.71,2997.65,14176.06,920.88,17233.76,-,2573.53,2.79,18.73,18.38,14.93,M
Y/E 2019 31 Dec 2019,17941.59,3314.9,14306.48,920.88,17870.83,-41.09,2603.59,2.83,18.02,18.28,14.61,M
Y/E 2020 31 Dec 2020,20353.43,6505.99,13523.0,920.88,13655.26,-6.3,907.37,0.99,5.87,6.52,6.68,M
Y/E 2021 31 Dec 2021,19568.67,6059.83,13194.46,920.88,11368.01,-23.44,130.98,0.14,0.8,0.98,1.06,M
9M/2022 30 Sep 2022,19175.09,5738.47,13121.17,920.88,11720.68,-20.01,1118.21,1.21,9.96,11.71,9.55,M
Y/E 2018 31 Dec 2018,4522.9,3331.79,1145.39,140.0,5388.71,-7.27,-272.62,-0.99,-7.18,-19.78,-5.1,MALEE
Y/E 2019 31 Dec 2019,4187.36,3202.89,885.0,140.0,4998.37,-24.07,-209.61,-0.76,-4.84,-20.65,-4.22,MALEE
Y/E 2020 31 Dec 2020,4002.64,3163.01,734.12,138.0,3912.15,-25.02,-200.9,-0.73,-4.83,-24.82,-5.19,MALEE
Y/E 2021 31 Dec 2021,4045.5,3289.52,643.64,138.0,3488.69,-1.93,-114.02,-0.41,-1.52,-16.55,-3.49,MALEE
9M/2022 30 Sep 2022,4178.34,3458.51,596.55,138.0,3023.05,2.53,-45.78,-0.17,-0.11,-13.56,-2.11,MALEE
Y/E 2018 31 Dec 2018,267700.31,184626.19,71923.74,4618.91,78840.06,487.94,5444.77,1.18,5.16,9.13,7.25,MINT
Y/E 2019 31 Dec 2019,254183.77,168315.92,75461.25,4619.0,129061.6,827.51,10697.93,2.04,6.66,14.52,8.52,MINT
Y/E 2020 31 Dec 2020,362326.52,286002.61,66980.9,5182.33,58695.64,-463.9,-21407.34,-4.71,-5.74,-30.06,-38.68,MINT
Y/E 2021 31 Dec 2021,369632.89,290140.46,68022.67,5213.77,76211.26,1260.38,-13166.51,-2.83,-2.41,-19.51,-18.6,MINT
9M/2022 30 Sep 2022,370265.42,286182.56,72337.09,5274.99,88174.54,1708.85,2375.71,0.25,2.44,1.3,2.73,MINT
Y/E 2019 31 Dec 2019,2595.81,1422.97,1172.84,1065.78,1119.66,-6.06,40.75,0.04,4.31,3.47,3.64,NRF
Y/E 2020 31 Dec 2020,3358.37,783.91,2574.47,1355.78,1444.02,-14.93,124.39,0.11,6.63,6.64,8.61,NRF
Y/E 2021 31 Dec 2021,4662.28,1809.2,2815.32,1417.65,2183.15,89.62,220.78,0.16,8.9,8.19,10.14,NRF
9M/2022 30 Sep 2022,5580.42,2438.94,3078.0,1417.65,1802.77,142.54,246.72,0.17,10.21,13.14,13.05,NRF
Y/E 2020 31 Dec 2020,1574.58,1119.80,454.78,225.00,2927.58,-,151.41,0.68,13.66,33.29,5.17,NSL
Y/E 2021 31 Dec 2021,2110.89,858.87,1252.02,300.00,3042.88,-,191.11,0.70,13.52,22.39,6.28,NSL
9M/2022 30 Sep 2022,2167.10,845.21,1321.90,300.00,2943.65,-,219.87,0.73,16.78,20.86,7.47,NSL
Y/E 2018 30 Sep 2018,9680.22,3689.76,5985.40,375.00,13580.14,-,1015.26,5.41,12.08,17.56,7.42,OISHI
Y/E 2019 30 Sep 2019,8407.27,1767.71,6635.76,375.00,13756.63,-,1234.45,6.58,14.63,19.56,8.93,OISHI
Y/E 2020 30 Sep 2020,8567.91,1606.73,6961.58,375.00,11365.55,-,1069.64,2.85,11.94,15.73,9.38,OISHI
Y/E 2021 30 Sep 2021,9109.14,1977.24,7132.30,375.00,9896.46,-,546.69,1.46,5.98,7.76,5.50,OISHI
Y/E 2022 30 Sep 2022,10528.56,2561.11,7967.80,375.00,12802.46,-,1197.45,3.19,13.96,15.86,9.36,OISHI
Y/E 2018 31 Dec 2018,23456.17,5153.44,18087.76,3003.75,24812.45,351.07,3005.34,1.48,19.68,28.06,12.34,OSP
Y/E 2019 31 Dec 2019,24323.87,6300.72,17871.31,3003.75,26151.32,199.53,3259.01,1.08,16.74,18.13,12.5,OSP
Y/E 2020 31 Dec 2020,25855.48,6526.41,19224.1,3003.75,26129.08,225.31,3504.31,1.17,16.3,18.89,13.15,OSP
Y/E 2021 31 Dec 2021,27141.61,7237.81,19884.37,3003.75,27277.96,263.41,3254.92,1.08,14.88,16.65,11.68,OSP
9M/2022 30 Sep 2022,25717.05,7720.26,18004.24,3003.75,21011.36,252.42,1597.21,0.53,11.66,13.2,7.5,OSP
